"SPECIES","tissue","n_TPM","mean_TPM","sd_TPM","median_TPM","q25_TPM","q75_TPM","min_TPM","max_TPM","n_logTPM1","mean_logTPM1","sd_logTPM1","median_logTPM1","q25_logTPM1","q75_logTPM1","min_logTPM1","max_logTPM1"
"AW","Brain",340,20588.2352941176,22866.4861923672,15974.7990696592,5091.58401352343,27600.1958836889,0,129942.339641607,340,8.26232337204206,3.55073013123551,9.67874858340894,8.53553302988369,10.2256134023495,0,11.7748537855173
"AW","Eye",122,16393.4426229508,26012.0015213487,0,0,31496.6832904125,0,92555.6633970367,122,3.81047820676231,5.10735764560304,0,0,10.3575991012824,0,11.4355763132169
"AW","Gonad",59,16949.1525423729,26381.905300182,1337.99942043874,0,28331.4710032955,0,89400.0651116294,59,5.86613506678666,4.63664201327785,7.19967791285967,0,10.2515600974894,0,11.400887875091
"AW","Heart",612,21241.8300653595,24108.9680197908,14491.494514268,2329.00798185139,28507.9198823735,0,138809.114638066,612,8.49509726383811,3.03389007681357,9.58138599080434,7.75358664306947,10.2579721705931,0,11.840862196432
"AW","Liver",559,23255.8139534884,28829.7340600426,13148.5521022101,1721.69141956607,32379.3578703834,0,204511.717997628,559,8.63328365132245,2.74072142693258,9.4841429763574,7.45164140050288,10.3853072776916,0,12.2283854432287
"AC","Blood",454,30837.0044052863,39573.5390863285,14387.5745650869,2037.72129929349,44419.8935972111,0,212307.971535226,454,8.91811582719798,2.46761613144947,9.57415103111276,7.62003091541687,10.7014648488705,0,12.2657979055607
