"SPECIES","individual_id","tissue","EXON","n_exons","max_TPM","min_TPM","diff_TPM"
"AC","AC_1713_89780","Blood","EXON2",17,118133.971129011,523.612194988046,117610.358934023
"AC","AC_1713_89780","Blood","EXON3",19,113459.605364913,98.673489452621,113360.931875461
"AC","AC_1873_10093","Blood","EXON2",16,131836.94834248,217.528520624411,131619.419821856
"AC","AC_1873_10093","Blood","EXON3",18,126620.378444037,0,126620.378444037
"AC","AC_1873_10702","Blood","EXON2",18,92550.5794449542,1606.27955744948,90944.2998875047
"AC","AC_1873_10702","Blood","EXON3",20,88888.5061575639,139.172236024503,88749.3339215394
"AC","AC_1873_10717","Blood","EXON2",13,129287.557530094,976.987518296629,128310.570011797
"AC","AC_1873_10717","Blood","EXON3",15,124171.86280768,115.069378283132,124056.793429397
"AC","AC_1873_10752","Blood","EXON2",16,192682.625416404,0,192682.625416404
"AC","AC_1873_10752","Blood","EXON3",17,185058.492756043,0,185058.492756043
"AC","AC_1873_10831","Blood","EXON2",13,123467.097372417,2635.9392302597,120831.158142157
"AC","AC_1873_10831","Blood","EXON3",15,118581.708627465,827.89427087579,117753.81435659
"AC","AC_1873_20908","Blood","EXON2",13,212307.971535226,0,212307.971535226
"AC","AC_1873_20908","Blood","EXON3",15,203907.296402537,0,203907.296402537
"AC","AC_1873_20930","Blood","EXON2",17,173164.851547248,186.853440685076,172977.998106563
"AC","AC_1873_20930","Blood","EXON3",20,166313.004903292,53.9648926166284,166259.040010675
"AC","AC_1873_20934","Blood","EXON2",13,98169.7847511979,467.725419853138,97702.0593313447
"AC","AC_1873_20934","Blood","EXON3",15,94285.3688078051,202.624730622298,94082.7440771829
"AC","AC_1873_20946","Blood","EXON2",14,137324.677403723,795.6963729773,136528.981030746
"AC","AC_1873_20946","Blood","EXON3",16,131890.967146741,364.98283406901,131525.984312672
"AC","AC_1873_20954","Blood","EXON2",12,113546.609591116,1996.44631447024,111550.163276646
"AC","AC_1873_20954","Blood","EXON3",14,109053.758132475,1197.08152823667,107856.676604239
"AC","AC_1873_20970","Blood","EXON2",17,101599.186891701,499.086676511233,101100.10021519
"AC","AC_1873_20970","Blood","EXON3",19,97579.075180159,470.258565232606,97108.8166149264
