"SPECIES","tissue","CONTIG_TYPE","n_TPM","mean_TPM","sd_TPM","median_TPM","q25_TPM","q75_TPM","min_TPM","max_TPM","n_logTPM1","mean_logTPM1","sd_logTPM1","median_logTPM1","q25_logTPM1","q75_logTPM1","min_logTPM1","max_logTPM1"
"AW","Brain","Core",250,23670.9737456976,24773.2050395778,18140.089664527,6567.41706282586,32505.2480015309,0,129942.339641607,250,8.5528661981791,3.44437024262271,9.80592514251466,8.7900281483285,10.3891875960418,0,11.7748537855173
"AW","Brain","Not_core",90,12025.0729286178,13182.1729372901,7899.71520420162,2396.93871204923,17519.8477682077,0,54703.8784558978,90,7.45525996610586,3.73297140994996,8.97458845675132,7.78236477731641,9.77077470753881,0,10.9097081700987
"AW","Eye","Core",79,18021.4800692431,27923.8282706778,0,0,32452.2467888588,0,92555.6633970367,79,3.8011177579797,5.17132064717983,0,0,10.3875047575926,0,11.4355763132169
"AW","Eye","Not_core",43,13402.3970820883,22070.079607232,0,0,18973.3753697908,0,78178.0846169145,43,3.82767531033966,5.04823932878729,0,0,9.85031648183803,0,11.2667574306178
"AW","Gonad","Core",38,26021.2323875446,29212.5747708039,14518.8978825752,0,37585.5637919451,0,89400.0651116294,38,6.98639915536729,4.8700459845927,9.58307155548237,0,10.5343810441832,0,11.400887875091
"AW","Gonad","Not_core",21,533.008060633637,576.304188476482,522.896325228934,0,879.785004202344,0,1713.2655344993,21,3.83899052554551,3.43061862169406,6.26129381212909,0,6.78081356006184,0,7.44674000810347
"AW","Heart","Core",440,28819.3222907844,24538.9439532072,21412.904616532,12348.6834044318,38720.8311540073,0,138809.114638066,440,9.55589565315857,2.24280505641947,9.97179562991103,9.42138569622134,10.5641585818292,0,11.840862196432
"AW","Heart","Not_core",172,1857.54762822607,2291.31243379017,1076.66590816198,280.305993014354,2441.59522266635,0,10867.3196126943,172,5.78142696557647,3.11002719871655,6.98255278521728,5.63944065679293,7.80081215196537,0,9.29360737871653
"AW","Liver","Core",397,31872.4615835743,29904.4072975818,22429.4856434829,11868.8948697112,39640.6429305703,0,204511.717997628,397,9.93978758237577,1.13999640870599,10.0181762787949,9.38176063075836,10.5876354338658,0,12.2283854432287
"AW","Liver","Not_core",162,2139.70834148774,7023.15631197106,525.200232512787,122.547076096315,1264.73417187172,0,59268.441966301,162,5.43154253633376,2.88330265984469,6.26567631440345,4.81660102762803,7.14340760360754,0,10.9898491396254
"AC","Blood","Core",245,54504.9249647512,40862.2728022583,42140.8197674267,23686.8239516838,80556.4500092382,0,212307.971535226,245,10.5920371289794,1.02327872983988,10.6487958702755,10.0727164377918,11.2967258735801,0,12.2657979055607
"AC","Blood","Not_core",209,3092.3128403634,4325.24105261711,1802.55865546546,591.405665447617,3934.98651511826,0,28943.5283379789,209,6.95586358348292,2.20537980234462,7.49751702294501,6.38419164589892,8.27791683212925,0,10.2731364612682
