"SPECIES","tissue","n","mean_TPM","sd_TPM","se_TPM"
"AW","Brain",340,20588.2352941176,22866.4861923672,1240.10932960355
"AW","Eye",122,16393.4426229508,26012.0015213487,2355.01596379443
"AW","Gonad",59,16949.1525423729,26381.905300182,3434.63152062992
"AW","Heart",612,21241.8300653595,24108.9680197908,974.547271276822
"AW","Liver",559,23255.8139534884,28829.7340600426,1219.36782792249
"AC","Blood",454,30837.0044052863,39573.5390863285,1857.27821546513
